Index,Repository,URL,Stars,Year,Vulnerability Type,Risk Level,Has TrustedIPs,File Path
68,pinceladasdaweb/docker-fastify-restful-api,https://github.com/pinceladasdaweb/docker-fastify-restful-api,88,2021,traefik docker-compose,medium,No,tmp_traefik/traefik_scan_4_1767028255/pinceladasdaweb_docker-fastify-restful-api/docker-compose.yml
69,borjapazr/mars-server,https://github.com/borjapazr/mars-server,120,2020,traefik docker-compose,medium,No,tmp_traefik/traefik_scan_15_1767028255/borjapazr_mars-server/services/monica/docker-compose.yml
70,PAPAMICA/docker-compose-collection,https://github.com/PAPAMICA/docker-compose-collection,259,2020,traefik docker-compose,medium,No,tmp_traefik/traefik_scan_6_1767028255/PAPAMICA_docker-compose-collection/composes-files/adminer.yml
71,rafrasenberg/docker-traefik-portainer,https://github.com/rafrasenberg/docker-traefik-portainer,126,2020,traefik docker-compose,medium,No,tmp_traefik/traefik_scan_5_1767028255/rafrasenberg_docker-traefik-portainer/core/docker-compose.yml
72,tomMoulard/htransformation,https://github.com/tomMoulard/htransformation,102,2020,traefik docker-compose,medium,No,tmp_traefik/traefik_scan_13_1767028255/tomMoulard_htransformation/docker-compose.yml
73,tomMoulard/fail2ban,https://github.com/tomMoulard/fail2ban,254,2020,traefik docker-compose,medium,No,tmp_traefik/traefik_scan_12_1767028255/tomMoulard_fail2ban/docker-compose.yml
74,traPtitech/NeoShowcase,https://github.com/traPtitech/NeoShowcase,61,2020,traefik docker-compose,medium,No,tmp_traefik/traefik_scan_10_1767028255/traPtitech_NeoShowcase/compose.yaml
75,HariSekhon/Kubernetes-configs,https://github.com/HariSekhon/Kubernetes-configs,526,2020,traefik docker-compose,medium,No,tmp_traefik/traefik_scan_8_1767028255/HariSekhon_Kubernetes-configs/ing.yaml
76,erikespinoza/v4raider,https://github.com/erikespinoza/v4raider,135,2020,traefik docker-compose,medium,No,tmp_traefik/traefik_scan_7_1767028255/erikespinoza_v4raider/docker-compose.yml
77,BretFisher/compose-dev-tls,https://github.com/BretFisher/compose-dev-tls,133,2020,traefik docker-compose,medium,No,tmp_traefik/traefik_scan_11_1767028255/BretFisher_compose-dev-tls/traefik.yaml
78,traefik/plugindemo,https://github.com/traefik/plugindemo,155,2020,traefik docker-compose,medium,No,tmp_traefik/traefik_scan_0_1767028255/traefik_plugindemo/.traefik.yml
79,traefik/plugin-simplecache,https://github.com/traefik/plugin-simplecache,55,2020,traefik docker-compose,medium,No,tmp_traefik/traefik_scan_15_1767028255/traefik_plugin-simplecache/.traefik.yml
80,traefik/plugin-rewritebody,https://github.com/traefik/plugin-rewritebody,66,2020,traefik docker-compose,medium,No,tmp_traefik/traefik_scan_4_1767028255/traefik_plugin-rewritebody/.traefik.yml
81,56kcloud/traefik-training,https://github.com/56kcloud/traefik-training,376,2020,traefik docker-compose,medium,No,tmp_traefik/traefik_scan_2_1767028255/56kcloud_traefik-training/01-Traefik-Overview/whoami.yml
82,faritvidal/Config-Traefik-2.2.X,https://github.com/faritvidal/Config-Traefik-2.2.X,115,2020,traefik docker-compose,medium,No,tmp_traefik/traefik_scan_1_1767028255/faritvidal_Config-Traefik-2.2.X/traefik-simple-auth-subpath/docker-compose.yml
83,barebaric/traefik-swarm,https://github.com/barebaric/traefik-swarm,57,2020,traefik docker-compose,medium,No,tmp_traefik/traefik_scan_6_1767028255/barebaric_traefik-swarm/docker-compose.yml
84,guaosi/go-micro-build,https://github.com/guaosi/go-micro-build,73,2020,traefik docker-compose,medium,No,tmp_traefik/traefik_scan_5_1767028255/guaosi_go-micro-build/apigateway/deploy/docker-compose.yml
85,christippett/terraform-cloudinit-container-server,https://github.com/christippett/terraform-cloudinit-container-server,117,2020,traefik docker-compose,medium,No,tmp_traefik/traefik_scan_12_1767028255/christippett_terraform-cloudinit-container-server/templates/docker-compose.webhook.yaml
86,azrikahar/docker-reverse-proxies,https://github.com/azrikahar/docker-reverse-proxies,52,2020,traefik docker-compose,medium,No,tmp_traefik/traefik_scan_14_1767028255/azrikahar_docker-reverse-proxies/basic/traefik-basic/project/docker-compose.yml
87,frigi83/traefik-examples,https://github.com/frigi83/traefik-examples,348,2020,traefik docker-compose,medium,No,tmp_traefik/traefik_scan_13_1767028255/frigi83_traefik-examples/example_guacamole/docker-compose.yml
88,JensKnipper/traefik-examples,https://github.com/JensKnipper/traefik-examples,74,2020,traefik docker-compose,medium,No,tmp_traefik/traefik_scan_9_1767028255/JensKnipper_traefik-examples/reverse-proxy/docker-compose.yml
89,stevegroom/traefikGateway,https://github.com/stevegroom/traefikGateway,56,2020,traefik docker-compose,medium,No,tmp_traefik/traefik_scan_8_1767028255/stevegroom_traefikGateway/ubuntu/docker-compose.yml
90,lfache/awesome-traefik,https://github.com/lfache/awesome-traefik,96,2020,traefik docker-compose,medium,No,tmp_traefik/traefik_scan_10_1767028255/lfache_awesome-traefik/nextcloud/docker-compose.yaml
91,borchero/switchboard,https://github.com/borchero/switchboard,162,2020,traefik docker-compose,medium,No,tmp_traefik/traefik_scan_7_1767028255/borchero_switchboard/chart/Chart.yaml
